transaction_id,items
1,"Detergente, Sabonete, Macarrão"
2,"Maçã, Laranja, Pão, Cenoura, Refrigerante, Peixe, Óleo"
3,"Detergente, Açúcar"
4,"Frango, Chocolate, Refrigerante, Cebola, Leite, Tomate"
5,"Banana, Frango, Queijo"
6,"Arroz, Pão, Refrigerante, Detergente"
7,"Suco, Laranja, Maçã, Óleo, Carne Bovina"
8,"Queijo, Arroz, Ovos, Feijão, Peixe, Batata"
9,"Refrigerante, Peixe, Açúcar, Biscoito, Sal"
10,"Manteiga, Presunto"
11,"Laranja, Queijo, Chocolate, Óleo, Peixe"
12,"Ovos, Carne Bovina, Laranja, Café"
13,"Café, Batata, Arroz, Refrigerante"
14,"Arroz, Biscoito, Sal, Queijo, Frango, Laranja"
15,"Alface, Sal, Laranja, Batata, Carne Bovina, Feijão, Frango"
16,"Manteiga, Café, Maçã, Queijo, Sal, Frango"
17,"Manteiga, Maçã, Leite, Peixe, Ovos, Cenoura"
18,"Sabonete, Cenoura, Cebola, Chocolate, Refrigerante, Leite"
19,"Refrigerante, Chocolate, Frango, Óleo, Laranja, Sabonete, Maçã"
20,"Chocolate, Açúcar, Sal, Queijo, Ovos"
21,"Alface, Leite"
22,"Biscoito, Arroz, Macarrão, Chocolate, Cenoura, Presunto, Cebola"
23,"Óleo, Biscoito, Carne Bovina"
24,"Maçã, Ovos, Arroz, Suco, Manteiga, Alface, Batata"
25,"Café, Queijo, Cebola, Pão, Óleo, Manteiga"
26,"Leite, Batata, Banana, Detergente, Óleo"
27,"Óleo, Chocolate, Suco, Café, Sal"
28,"Pão, Arroz, Detergente, Chocolate, Refrigerante, Presunto"
29,"Pão, Tomate"
30,"Óleo, Queijo, Arroz, Cebola, Suco"
31,"Manteiga, Cenoura, Batata, Laranja, Frango, Café, Banana"
32,"Queijo, Banana, Ovos, Cebola, Cenoura"
33,"Presunto, Maçã, Cenoura, Cebola, Banana, Macarrão"
